"t","S","N"
981,749433.9960973138,6
982,749494.4717558955,7
983,749554.947414477,7
984,749627.2040455097,8
985,749712.81244532,9
986,749807.845623091,9
987,749909.1619861694,9
988,749989.2725988359,8
989,750064.6708225221,8
990,750147.9230278422,8
991,750240.6000111231,8
992,750346.6287631819,9
993,750467.5800803448,10
994,750590.102193835,10
995,750702.4141312008,9
996,750820.2238557102,8
997,750951.3853489978,9
998,751077.8344533048,9
999,751205.8543539385,9
1000,751292.2481519124,6
1001,751355.080004984,6
1002,751428.12203418,7
1003,751498.0224707223,7
1004,751566.3521109379,7
1005,751646.4627236045,8
1006,751739.9251050487,9
1007,751848.3100515977,10
1008,751970.8321650876,10
1009,752065.8653428586,9
1010,752159.3277243029,9
1011,752233.9405498257,9
1012,752321.1197459629,9
1013,752405.9427476097,8
1014,752473.4869896619,6
1015,752528.4648610998,6
1016,752574.0179545769,6
1017,752607.7900756028,5
1018,752639.9914003023,5
1019,752672.1927250016,5
1020,752703.6086515373,4
1021,752742.0931615438,5
1022,752766.4405046091,5
1023,752799.4272274718,6
1024,752838.6971356417,6
1025,752888.1772199358,7
1026,752949.4382766808,8
1027,753016.9825187329,8
1028,753097.8785295628,9
1029,753189.7701146804,9
1030,753278.5201071444,9
1031,753364.1285069546,9
1032,753452.8784994187,9
1033,753505.5001763663,7
1034,753569.902825765,8
1035,753647.6572439413,9
1036,753716.7722823202,8
1037,753781.1749317189,8
1038,753838.508997647,7
1039,753902.1262488822,7
1040,753943.752351542,5
1041,753994.0178339996,6
1042,754047.4249091105,6
1043,754080.4116319732,6
1044,754114.9691511628,6
1045,754159.7368464764,7
1046,754203.7191436269,6
1047,754257.9116169012,7
1048,754323.8850626264,8
1049,754380.4337303912,8
1050,754441.6947871363,8
1051,754513.9514181687,8
1052,754583.0664565477,8
1053,754653.7522912535,8
1054,754726.0089222861,8
1055,754811.6173220965,9
1056,754901.1527127236,8
1057,755000.1128813119,8
1058,755112.4248186776,9
1059,755216.097376246,8
1060,755333.1217025924,9
1061,755431.296473017,9
1062,755540.4668177292,9
1063,755609.5818561082,8
1064,755684.1946816308,7
1065,755757.2367108269,7
1066,755842.0597124738,8
1067,755925.3119177937,8
1068,756016.418104748,8
1069,756120.8760604797,9
1070,756182.1371172247,8
1071,756252.8229519305,8
1072,756309.3716196951,6
1073,756365.9202874596,6
1074,756432.6791313484,7
1075,756490.0131972764,7
1076,756556.7720411652,7
1077,756635.3118575049,8
1078,756723.2764518055,8
1079,756788.4644993674,7
1080,756865.4335193803,8
1081,756953.3981136808,8
1082,757054.7144767592,9
1083,757167.026414125,9
1084,757256.5618047522,8
1085,757359.4489641575,9
1086,757462.3361235623,7
1087,757540.8759399019,6
1088,757629.625932366,7
1089,757717.5905266665,6
1090,757815.7652970912,7
1091,757906.0860858818,7
1092,758008.1878471236,8
1093,758118.1435899992,8
1094,758222.601545731,7
1095,758295.643574927,7
1096,758373.3979931033,7
1097,758448.010818626,7
1098,758534.4046165998,8
1099,758589.3824880377,8
1100,758639.6479704952,8
1101,758693.0550456061,8
1102,758751.1745096976,8
1103,758818.7187517498,8
1104,758890.1899846189,7
1105,758951.4510413639,6
1106,759022.9222742331,7
1107,759106.1744795531,8
1108,759168.2209344616,7
1109,759242.0483618209,8
1110,759329.227557958,9
1111,759421.1191430755,9
1112,759493.375774108,8
1113,759570.3447941211,8
1114,759603.3315169838,6
1115,759644.1722214804,6
1116,759695.2231021014,7
1117,759748.6301772123,6
1118,759792.6124743626,6
1119,759839.7363641664,6
1120,759897.0704300944,7
1121,759948.1213107153,7
1122,759992.889006029,7
1123,760038.4420995062,6
1124,760088.7075819635,6
1125,760146.8270460548,6
1126,760186.8823523881,5
1127,760235.5770385187,6
1128,760275.632344852,5
1129,760324.3270309826,6
1130,760377.7341060936,6
1131,760421.7164032438,6
1132,760475.9088765184,7
1133,760537.9553314267,7
1134,760581.9376285769,6
1135,760624.3491294003,6
1136,760676.9708063481,7
1137,760741.3734557466,8
1138,760813.6300867791,8
1139,760890.5991067921,8
1140,760980.919895583,9
1141,761071.2406843735,9
1142,761141.9265190794,8
1143,761204.7583721512,8
1144,761278.5857995105,8
1145,761365.7649956476,9
1146,761439.592423007,8
1147,761526.771619144,9
1148,761621.8047969152,9
1149,761706.6277985622,8
1150,761771.0304479607,8
1151,761848.7848661371,9
1152,761941.461849418,10
1153,762050.6321941302,11
1154,762151.9485572085,11
1155,762257.1919111038,10
1156,762378.9286264305,11
1157,762491.2405637963,11
