"t","S, м²","N активних","T життя, с"
732,0.07156712998491872,11,0.5
733,0.07157977489534942,9,1.5
734,0.07159226272614744,9,0.5
735,0.0716060071940069,9,6.5
736,0.07161888772388661,8,6
737,0.07163310343064411,9,5
738,0.07164637665960552,9,3
739,0.07166114214507739,10,4
740,0.07167755696669241,11,15
741,0.07169577820408324,12,11.5
742,0.07171596293688254,13,1.5
743,0.07173826824472303,14,13
744,0.07176183018962494,14,2.5
745,0.07178712001048634,14,1.5
746,0.07180879699979613,14,0.5
747,0.07182953151130986,12,5.5
748,0.07184759566906795,10,15
749,0.07186196845545814,9,6.5
750,0.07187461336588884,9,0.5
751,0.07188851491338098,9,2
752,0.07190390871738357,10,2.5
753,0.07191710340652865,10,3
754,0.07192762774191819,10,0.5
755,0.07193885893565477,9,2.5
756,0.0719515823859018,10,2
757,0.07196509123431225,10,7
758,0.07197844300308999,10,9
759,0.07199242309039848,10,7.5
760,0.0720064817175233,9,2
761,0.07202203260115857,10,9.5
762,0.07203711224589578,10,6.5
763,0.07205384122677616,11,2.5
764,0.0720679783937173,10,4.5
765,0.0720837648968016,11,15
766,0.0721013578156617,12,2.5
767,0.07212091422993028,13,1.5
768,0.07214172728126035,13,4.5
769,0.07216049829736551,13,6
770,0.07217604918100079,12,11.5
771,0.07219042196739098,11,4
772,0.07220660116955696,12,8.5
773,0.07222325161062097,12,0.5
774,0.07223919519333796,11,8.5
775,0.07225482461678956,11,9
776,0.07226935448281242,11,11
777,0.07228419850810061,11,7
778,0.07229605802036793,11,2
779,0.07230838877153326,11,1
780,0.07231946288563716,11,2.5
781,0.0723299872210267,10,1.5
782,0.07234145403421229,10,3.5
783,0.07235457018354104,11,8
784,0.0723689429699312,11,2
785,0.07238425823411745,11,3.5
786,0.07240137991407952,12,19
787,0.07242046508945008,13,1.5
788,0.07244096398151477,13,6
789,0.07245965645780363,12,9
790,0.07247976265078661,12,2.5
791,0.07249680579093232,11,1.5
792,0.07251447724960879,11,1.5
793,0.0725273577794885,10,0.5
794,0.07254110224734797,9,2.5
795,0.07255013432622703,7,8.5
796,0.0725603445023512,8,1
797,0.07257188985535314,9,1.5
798,0.07258100047404853,8,13
799,0.07258799051770279,7,7
800,0.07259364538447925,6,4
801,0.07260032126886813,7,0.5
802,0.07260793963105311,7,14
803,0.07261673609048314,8,2.5
804,0.07262686772679097,9,4
805,0.07263849161960925,10,0.5
806,0.07265152922912169,10,5
807,0.0726633102015726,10,2
808,0.07267454139530921,9,12
809,0.07268726484555625,10,3
810,0.07270163763194643,11,9
811,0.07271710997576535,11,11
812,0.07273030466491044,10,5.5
813,0.07274287103552479,10,4.5
814,0.07275708674228229,11,3
815,0.07277208784720317,11,17
816,0.07278724603175674,11,1.5
817,0.07280421063208613,12,5.5
818,0.072823138727824,13,3
819,0.07284363761988868,13,3
820,0.07286523606938208,13,11
821,0.07288895509391671,14,1.5
822,0.07291345951661471,14,1.5
823,0.07293843517821072,14,0.5
824,0.07295367190258065,10,2
825,0.07296898716676688,9,3.5
826,0.0729857946874636,10,2.5
827,0.07300425154430344,11,0.5
828,0.07301885995014265,8,7.5
829,0.0730348035328596,9,0.5
