"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
440,0.02001100254571508,384,359,0.0000757691640971363
441,0.020170786557954776,383,97,0.0000757691640971363
442,0.020331700683538744,384,167,0.00007648621769775308
443,0.02049375035113914,385,388,0.00007648621769775308
444,0.020656941003565212,386,519,0.00007793386830491628
445,0.02082127809776341,387,199,0.00007793386830491628
446,0.020986767104817335,388,283,0.00007866449358579656
447,0.021153413509947726,389,427,0.00007866449358579656
448,0.021321222812512603,390,200,0.00007866449358579656
449,0.02148706896681496,388,67,0.0000793996710344319
450,0.021651575551507592,387,262,0.0000793996710344319
451,0.02181723337047196,388,147,0.0000793996710344319
452,0.02198404790892882,389,621,0.0000793996710344319
453,0.02215202466623609,390,69,0.00008013941478798925
454,0.022318959469572117,389,186,0.00008088373898363553
455,0.022483657341914452,386,193,0.00008163265775853767
456,0.0226495036210951,387,603,0.00008163265775853767
457,0.022815069060742096,385,422,0.00008238618524986263
458,0.022980469941409676,384,220,0.00008238618524986263
459,0.0231470175183184,385,569,0.00008238618524986263
460,0.023313432401422043,384,156,0.00008390712293044877
461,0.02347912330371322,383,240,0.00008390712293044877
462,0.023643744609159387,380,316,0.00008467456139404382
463,0.0238095005518433,381,44,0.00008467456139404382
464,0.023976396518025554,382,352,0.00008467456139404382
465,0.02414443790810388,383,454,0.00008467456139404382
466,0.02431363013661325,384,353,0.00008544666512272948
467,0.024483255426601336,383,186,0.00008544666512272948
468,0.02465343757723901,382,387,0.00008622344825367263
469,0.02482477555672772,383,404,0.00008700492492404024
470,0.024997274779602292,384,245,0.00008700492492404024
471,0.025169666826258118,383,297,0.00008779110927099929
472,0.025343222562029744,384,117,0.00008858201543171665
473,0.025517625213061234,384,128,0.00008858201543171665
474,0.025692565345042724,384,511,0.00008858201543171665
475,0.02586867821392684,385,25,0.00008858201543171665
476,0.026045969262522835,386,367,0.00008858201543171665
477,0.02622444394777722,387,185,0.00008937765754335933
478,0.026402742622946947,386,373,0.00008937765754335933
479,0.026580020564033007,385,313,0.00009017804974309421
480,0.0267570588919204,384,171,0.00009017804974309421
481,0.02693339638153764,383,157,0.00009017804974309421
482,0.027107904627781464,380,177,0.00009017804974309421
483,0.027283574484977514,381,423,0.00009017804974309421
484,0.02745906141901434,380,950,0.00009098320616808828
485,0.027635589767453884,380,138,0.00009098320616808828
486,0.027813285282752277,381,194,0.00009260786824252166
487,0.02799215335117013,382,318,0.00009260786824252166
488,0.02817062126707771,382,116,0.00009260786824252166
489,0.028349651133015002,381,310,0.00009342740216629487
490,0.02852793039785454,380,227,0.00009425175686399502
491,0.028703304399489434,378,318,0.00009425175686399502
492,0.02887946019823716,377,229,0.00009508094647278905
493,0.029056398048566696,376,434,0.00009591498512984387
494,0.02923449657679547,377,394,0.00009591498512984387
495,0.029411675479958533,376,49,0.00009591498512984387
496,0.029590014863100464,377,272,0.00009675388697232648
497,0.02976952005593326,378,78,0.00009675388697232648
498,0.029950196402305968,379,151,0.00009759766613740378
499,0.030132049260204876,380,63,0.00009759766613740378
500,0.030314077416617662,379,286,0.00009759766613740378
501,0.030497287145662424,380,561,0.00009844633676224271
502,0.030679690672131846,379,297,0.00009844633676224271
503,0.030861899598142114,378,392,0.00009844633676224271
504,0.031045288273089847,379,260,0.00010189021660255366
505,0.031229407811294064,379,314,0.00010189021660255366
506,0.03141439804347305,379,120,0.00010276355658370491
507,0.03159817077105405,374,373,0.00010364187284761944
508,0.031783119981886966,375,77,0.00010364187284761944
509,0.03196841820874109,374,273,0.00010364187284761944
510,0.03215489730136887,375,246,0.00010452517953146419
511,0.03234256256120787,376,133,0.00010452517953146419
512,0.032531419303832895,377,732,0.00010541349077240613
513,0.03272147285895577,378,139,0.00010630682070761218
514,0.032908156601212164,375,52,0.00010810859320948434
515,0.03309602516764896,376,559,0.00010901706405048436
516,0.03328200295162462,373,287,0.00010901706405048436
517,0.03346916031489172,374,126,0.00010993061013441624
518,0.0336566292047695,374,606,0.00010993061013441624
519,0.033845283286393975,375,587,0.00011084924559844697
520,0.034035127861202774,376,335,0.00011177298457974342
521,0.03422616824477063,377,147,0.00011177298457974342
522,0.03441837562319519,377,269,0.00011177298457974342
523,0.03461019746458391,376,252,0.00011177298457974342
524,0.034803221476456786,377,192,0.00011270184121547258
525,0.034995919072926006,376,446,0.00011270184121547258
526,0.03518982158248978,377,633,0.00011363582964280139
527,0.035384934334860084,378,92,0.00011457496399889676
528,0.03558114229355333,378,401,0.00011457496399889676
529,0.035775739133578094,376,29,0.00011551925842092568
530,0.035969519533362415,374,221,0.00011646872704605503
531,0.036164502584294655,375,363,0.00011742338401145179
532,0.03636069358781238,376,267,0.00011838324345428292
533,0.036556585844718256,376,242,0.00011838324345428292
534,0.036753690153988,377,222,0.00011838324345428292
