"t","S [м²]","N активних","T життя [с]"
784,0.571231079813252,7,11.5
785,0.5714706262530882,7,16
786,0.5716913231370029,7,2.5
787,0.5719308695768391,7,15
788,0.5722143983138256,8,0.5
789,0.5725230597920408,7,3.5
790,0.5728757035674062,8,13
791,0.5732244203519548,8,1.5
792,0.5735707809420129,9,3
793,0.5738880818000255,7,10
794,0.5742030264635479,8,3
795,0.5745580264334036,8,2.5
796,0.5720518208940023,8,8.5
797,0.5723494867979301,7,4.5
798,0.5726015996083806,7,8
799,0.5728976947159815,8,1.5
800,0.5732440553060397,9,18
801,0.5735833473126273,8,7.5
802,0.5738440995028754,7,19.5
803,0.5740286680712736,6,3
804,0.5741802499168094,7,13.5
805,0.5743192653917306,7,3.5
806,0.574466134848286,6,18.5
807,0.5746177166938217,7,20.5
808,0.5748132808365076,8,10.5
809,0.5749837122379647,7,2.5
810,0.5751981259365724,8,5
811,0.5754628051176371,9,11.5
812,0.5757651834105454,9,3.5
813,0.5761241103712179,10,18
814,0.5765458691849624,11,0.5
815,0.5770139664903472,10,10
816,0.5775048403424706,10,5.5
817,0.5780585460476659,11,5
818,0.5785360681310115,10,3.5
819,0.5789515437594489,10,1
820,0.5794259242501408,10,4.5
821,0.5799607803994145,11,9.5
822,0.5803597626664203,8,20
823,0.580718689627093,8,4
824,0.581127882070223,9,3.5
825,0.5746177166938217,7,12
826,0.5749138118014224,8,1.5
827,0.575246820622703,8,5.5
828,0.575448667950696,6,6.5
829,0.5756882143905323,7,1
830,0.5723361350291518,7,9.5
831,0.5725371969589815,6,2.5
832,0.5727201947310532,7,0.5
833,0.5729031925031247,6,2.5
834,0.5672962350146304,6,14
835,0.5674917991573165,6,6
836,0.5613444877324046,6,24
837,0.5615581160328486,6,2
838,0.5617725297314561,7,0.5
839,0.562017573958436,6,8
840,0.5622319876570435,6,2
841,0.5624644655134091,6,5
842,0.562645892489154,5,6.5
843,0.5627911911493825,6,3.5
844,0.5629741889214541,7,15
845,0.563201168990676,8,7
846,0.563461921180924,8,17.5
847,0.5637069654079039,7,14.5
848,0.5639268768936552,7,6.5
849,0.5641035914804196,7,2
850,0.5643242883643342,8,2.5
851,0.5645881821472356,8,5.5
852,0.5648740670787125,8,6
853,0.5651701621863133,8,6
854,0.5655165227763717,9,3.5
855,0.5658754497370442,9,1
856,0.5662869983746646,9,16
857,0.5667150403737161,9,3
858,0.5671548633452187,8,3.5
859,0.5675593433993684,7,6.5
860,0.5678570093032961,6,6.5
861,0.5681091221137465,7,4
862,0.568285836700511,6,15
863,0.5685002503991184,7,4
864,0.5686455490593469,7,1.5
865,0.568821478247948,7,1.5
866,0.5689730600934838,6,6.5
867,0.5601004170415832,4,5
868,0.5602331493311975,5,15
